geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code, admin3 code, admin4 code,population,elevation,dem,timezone,modification date 
2940204,Cham,Cham,"Cham,Cham Regen,QHQ",49.22565,12.65501,P,PPLA3,DE,NA,02,093,9372,9372116,17314,NA,396,Europe/Berlin,2014-01-09
2940213,Celle,Celle,"Cele,Cella,Celle,Celle i Tyskland,Celė,Gorad Cehle,ZCN,ce lei,chelle,sel lex,slh,syly,tsu~ere,Горад Цэле,Целе,Целле,سله,سيلي,เซลเลอ,ツェレ,策勒,첼레",52.62264,10.08047,P,PPLA3,DE,NA,06,00,3351,3351006,71010,NA,45,Europe/Berlin,2015-09-05
2940231,Castrop-Rauxel,Castrop-Rauxel,"Castrop-Rauxel,Kastrop-Rauksel,Kastrop-Rauksel',Stadt Castrop-Rauxel,ZCM,ka si te luo pu-lao ke sai er,kastrwb rawksl,kastrwp-rawksl,khas thrx ph-rea seil,Кастроп-Рауксел,Кастроп-Рауксель,كاستروب راوكسل,کاستروپ-راوکسل,คัสทรอพ-เราเซิล,卡斯特罗普-劳克塞尔",51.55657,7.31155,P,PPL,DE,NA,07,055,5562,5562004,77924,NA,83,Europe/Berlin,2015-09-04
2940383,Calw,Calw,"Calewa,Calw,Kal'v,Kalv,ka er fu,kalf,karufu,klaw,Калв,Кальв,Կալվ,كالف,کلاو,カルフ,卡尔夫",48.71419,8.74031,P,PPLA3,DE,NA,01,082,8235,8235085,23740,NA,339,Europe/Berlin,2014-01-09
2940451,Buxtehude,Buxtehude,"Bukstekhude,Buxtehude,Gemeen Buxthu,bukusutefude,bwksthwdh,Букстехуде,بوكستهوده,بوکستهوده,ブクステフーデ",53.46716,9.68636,P,PPL,DE,NA,06,00,3359,3359010,38192,NA,15,Europe/Berlin,2015-09-05
2940512,Butzbach,Butzbach,"Bucbakh,bu ci ba he,buttsubahha,bwtsbakh,bwtzbakh,Буцбах,بوتزباخ,بوتسباخ,ブッツバッハ,布茨巴赫",50.43395,8.67122,P,PPL,DE,NA,05,064,6440,6440005,25156,NA,206,Europe/Berlin,2015-09-05
2940938,Bürstadt,Buerstadt,"Birshtat,Bjurshtadt,Buerstadt,Burstadt,Bürstadt,Gorad Bjurshtat,bi er si ta te,bwrashtt,byurushutatto,bywrshtat,Бирштат,Бюрштадт,Горад Бюрштат,بوراشتت,بيورشتات,ビュルシュタット,比尔斯塔特",49.64266,8.45936,P,PPL,DE,NA,05,064,6431,6431005,15348,NA,95,Europe/Berlin,2015-09-04
2940942,Burscheid,Burscheid,"Burscheid,Burshajd,bu er sha yi de,bwrshayd,Буршайд,Буршајд,بورشايد,بورشاید,布尔沙伊德",51.08468,7.11393,P,PPL,DE,NA,07,053,5378,5378008,19215,NA,191,Europe/Berlin,2017-04-26
2941279,Burghausen,Burghausen,"Burghausen,Burgkhauzen,Burkhausen,Бургхаузен",48.16925,12.83139,P,PPL,DE,NA,02,091,9171,9171112,18263,NA,422,Europe/Berlin,2015-11-13
2941405,Burgdorf,Burgdorf,"Borchdoerp,Borchdörp,Borgtorff [a. 1654],Bortaerpe,Bortoerp,Bortärpe,Bortörp,Burgdorf,Burgdorf (Gannover),Burgdorf (Hanovro),Burgdorf (Khanover),Burgdorf (Region Hannover),Burgdorf  Hanover,Burgdorfas,Burgtorff [a. 1654],bwrgdwrf,Бургдорф (Ганновер),Бургдорф (Хановер),بورگدورف",52.44628,10.0064,P,PPL,DE,NA,06,00,3241,3241003,30218,NA,55,Europe/Berlin,2015-03-04
2941501,Burg bei Magdeburg,Burg bei Magdeburg,"Burg,Stadt Burg bei Magdeburg",52.27152,11.85493,P,PPLA3,DE,NA,14,00,15086,15086015,24958,NA,44,Europe/Berlin,2016-09-27
2941570,Büren,Bueren,"Biren,Bjuren,Bueren,Buren,Burion,Büren,Būrion,bwrn,Бирен,Бюрен,بورن",51.55109,8.55956,P,PPL,DE,NA,07,057,5774,5774016,22263,NA,243,Europe/Berlin,2015-09-04
2941694,Bünde,Buende,"Binde,Bjunde,Buende,Buginithi,Bunde,Bünde,byunde,Бинде,Бюнде,ビュンデ",52.19837,8.58644,P,PPL,DE,NA,07,057,5758,5758004,45403,NA,74,Europe/Berlin,2015-09-05
2941976,Bühl,Buhl,"Bil,Bjul',Buehl,Buhl,Bühl,bwl,bywl,Бил,Бюль,بول,بيول",48.69676,8.13523,P,PPL,DE,NA,01,082,8216,8216007,29193,NA,138,Europe/Berlin,2015-03-04
2942073,Büdingen,Buedingen,"Bidingen,Bjudingehn,Bjudingen,Buedingen,Büdingen,bi ding gen,bwdynghn,bwdyngn,byudingen,Бидинген,Бюдинген,Бюдингэн,Бюдінген,بودينغن,بودینگن,ビューディンゲン,比丁根",50.29013,9.1114,P,PPL,DE,NA,05,064,6440,6440004,21579,NA,136,Europe/Berlin,2015-09-05
2942122,Buckow,Buckow,Berlin-Buckow,52.432,13.46018,P,PPLX,DE,NA,16,00,11000,11000000,38474,NA,44,Europe/Berlin,2012-06-09
2942159,Bückeburg,Buckeburg,"Bikeburg,Bjukkeburg,Buckeborch [a. 1348],Buckeburg,Buckeburgo,Bueckeborch,Bueckeburg,Bückeborch,Bückeburg,bi ke bao,bwikebuleukeu,bwkh‌bwrg,byukkeburuku,bywkhbwrgh,Бикебург,Бюккебург,بوکه‌بورگ,بيوكهبورغ,ビュッケブルク,比克堡,뷔케부르크",52.26065,9.04939,P,PPL,DE,NA,06,00,3257,3257009,20700,NA,68,Europe/Berlin,2016-04-19
2942323,Buchholz in der Nordheide,Buchholz in der Nordheide,"Buchholz,Buchholz in der Nordheide,Bukhgol'c-in-der-Nordkhajde,Bukhkhol'c-in-der-Nordkhajde,Bukholc in der Nordkhajde,Gemeen Bookholt,bwkhhlts dr nwrdhaydh,bwkhhwlts an dr nwrdhaydh,nuo er deng di an bu he huo er ci,Бухгольц-ин-дер-Нордхайде,Бухолц ин дер Нордхајде,Буххольц-ин-дер-Нордхайде,بوخهلتس در نوردهایده,بوخهولتس إن در نوردهايده,诺尔登堤岸布赫霍尔茨",53.32641,9.86812,P,PPL,DE,NA,06,00,3353,3353005,37404,NA,75,Europe/Berlin,2015-09-05
2942341,Französisch Buchholz,Buchholz,"Berlin-Buchholz,Berlin-Franzoesisch Buchholz,Berlin-Französisch Buchholz,Buchholz,Francjozish-Bukhkhol'c,Францёзиш-Буххольц",52.60242,13.43019,P,PPLX,DE,DE,16,00,11000,11000000,19429,NA,46,Europe/Berlin,2012-06-09
2942634,Buchen,Buchen,"Buchen,Buchen in Odenwald,Bukhen,bu heng,buhyen,bwkhn,Бухен,بوخن,ブーヒェン,布亨",49.52416,9.32293,P,PPL,DE,NA,01,082,8225,8225014,18890,NA,344,Europe/Berlin,2017-09-22
2943320,Brühl,Bruehl,"Bril,Brjul',Bruehl,Brühl,brwl,Брил,Брюль,برول",50.82928,6.90499,P,PPL,DE,NA,07,053,5362,5362012,44137,NA,68,Europe/Berlin,2015-09-04
2943336,Brüggen,Bruggen,"Brueggen,Brüggen",51.24053,6.18376,P,PPLA4,DE,NA,07,051,5166,5166004,16105,NA,44,Europe/Berlin,2015-03-04
2943408,Bruckmühl,Bruckmuhl,"Bruckmuehl,Bruckmuhl,Bruckmühl,Brukmil,Brukmjul',Brukmyuhl,brwkmwl,bu lu ke mi he er,Брукмил,Брукмюль,Բրուկմյուհլ,بروکمول,布鲁克米赫尔",47.87859,11.91098,P,PPL,DE,NA,02,091,9187,9187122,15851,NA,514,Europe/Berlin,2015-03-04
2943560,Bruchsal,Bruchsal,"Bruchsal,Bruchsalia,Brukhzal,Brukhzal',Brusel,brwkhzal,bu lu sa er,buruffuzaru,Брухзал,Брухзаль,بروخزال,ブルッフザール,布鲁萨尔",49.12426,8.59804,P,PPL,DE,NA,01,082,8215,8215009,42785,NA,118,Europe/Berlin,2013-02-16
2943573,Bruchköbel,Bruchkoebel,"Bruchkobel,Bruchkoebel,Bruchköbel,Brukhkebel,Brukhkebel',Brukhkjobel',Gorad Brukhkjobel',brwkhkwbl,bu lu ke bei er,burufukeberu,Брухкебел,Брухкебель,Брухкёбель,Горад Брухкёбель,بروخكوبل,بروخکوبل,ブルーフケーベル,布鲁克贝尔",50.17853,8.92315,P,PPL,DE,NA,05,064,6435,6435006,20892,NA,116,Europe/Berlin,2015-09-04
2944027,Britz,Britz,"Berlin-Britz,beulicheu,bu li ci,布里茨,브리츠",52.44293,13.43388,P,PPLX,DE,NA,16,00,11000,11000000,39488,NA,44,Europe/Berlin,2012-06-09
2944079,Brilon,Brilon,"Brailen,Brilon,bryln,brylwn,bu li long,Брилон,Брілон,بريلون,بریلن,布里隆",51.39462,8.57146,P,PPL,DE,NA,07,059,5958,5958012,27030,NA,443,Europe/Berlin,2015-09-05
2944200,Bretten,Bretten,"Breten,Bretten,brtn,brytn,bu lei teng,Бретен,Бреттен,برتن,بريتن,布雷滕",49.03685,8.70745,P,PPL,DE,NA,01,082,8215,8215007,28144,NA,183,Europe/Berlin,2013-02-15
2944354,Bremervörde,Bremervoerde,"Bremerf'orde,Bremerfjorde,Bremerverde,Bremervoerde,Bremervorde,Bremervörde,Gemeen Bremervoeoer,Gemeen Bremervöör,brmrfwrdh,brymrfwrdh,bu lei mei er fu er de,buremaferude,Бремерверде,Бремерфьорде,Бремерфёрде,برمرفورده,بريمرفورده,ブレーマーフェルデ,布雷梅尔弗尔德",53.48458,9.14306,P,PPL,DE,NA,06,00,3357,3357008,19268,NA,8,Europe/Berlin,2015-09-05
2944368,Bremerhaven,Bremerhaven,"BRV,Bremergafen,Bremerhafenas,Bremerhafene,Bremerhaven,Bremerhoawen,Bremerhoben,Bremerhuuwen,Bremerkhafen,Brēmerhāfene,Brėmerhafenas,Wesermuende,Wesermünde,beulemeohapen,bremerhaveni,brmrhafn,bu lai mei ha fen,buremahafen,Бремергафен,Бремерхафен,Брэмэрһаффен,برمرهافن,بریمرہیون,ბრემერჰავენი,ブレーマーハーフェン,不来梅哈芬,브레머하펜",53.55021,8.57673,P,PPLA3,DE,NA,03,00,4012,4012000,117446,NA,5,Europe/Berlin,2016-10-05
2944388,Bremen,Bremen,"BRE,Brehmehn,Brema,Breme,Bremen,Bremen hiria,Bremenas,Bremene,Bremeni,Bremeno,Bremy,Brèma,Bréma,Brémy,Brémén,Brême,Brēmene,Brėmenas,Byen Bremen,Gorad Brehmen,ber mein,beulemen,bremena,bremeni,brmn,brymn,bu lai mei,buremen,mdynt brymn,Βρέμη,Бремен,Брэмэн,Горад Брэмен,Բրեմեն,ברמן,برمن,بريمن,مدينة بريمن,ब्रेमेन,เบรเมิน,ဘရီမန်မြို့,ბრემენი,ブレーメン,不来梅,브레멘,𐌱𐍂𐌴𐌼𐌴𐌽",53.07516,8.80777,P,PPLA,DE,NA,03,00,4011,4011000,546501,NA,18,Europe/Berlin,2015-09-04
2945024,Braunschweig,Braunschweig,"BWE,Braounsvaich,Braunschweig,Braunshvajg,Braunshvejg,Braunshweyg,Braunshwéyg,Braunsveiga,Braunsveigas,Braunšveiga,Braunšveigas,Bronswiek,Brunsvicum,Brunsvik,Brunswick,Brunswik,Brunswyck,Brunswyk,Brunszwik,Brunšwik,Brúnsvík,Gorad Braunshvejg,beulaunsyubaikeu,bra'unasva'iga,branjavika,branshwyg,braunshvaigi,brawnshfaygh,brawnshwayg,bu lun rui ke,buraunshuvu~aiku,Μπράουνσβαϊχ,Брауншвайг,Брауншвајг,Брауншвейг,Горад Браўншвейг,בראונשווייג,برانشویگ,براونشفايغ,براونشوایگ,ब्रंजविक,ब्राउनश्वाइग,ბრაუნშვაიგი,ブラウンシュヴァイク,不伦瑞克,브라운슈바이크",52.26594,10.52673,P,PPLA3,DE,NA,06,00,3101,3101000,244715,NA,72,Europe/Berlin,2015-09-04
2945358,Brandenburg an der Havel,Brandenburg an der Havel,"Brandebourg-sur-la-Havel,Brandeburgas,Brandeburgo sulla Havel,Brandenburg,Brandenburg na Khafelu,Brandenburg un der Havel,Brandenburg-na-Khafele,Brandenburg-na-Khafeli,Brandenburgas,Brandenburgum,Brannenborg an de Havel,Ciudad de Brandeburgo,beulandenbuleukeuandeeohapel,brandenburgi,brndnbwrg,brndnbwrg an dr hawl,ha fu er he pan bo lan deng bao,Бранденбург,Бранденбург на Хафелу,Бранденбург-на-Хафеле,Бранденбург-на-Хафелі,ברנדנבורג,برانڈنبرگ آن ڈیر ہاول,برندنبورگ آن در هاول,ბრანდენბურგი,ブランデンブルク・アン・デア・ハーフェル,哈弗尔河畔勃兰登堡,브란덴부르크안데어하펠",52.41667,12.55,P,PPL,DE,NA,11,00,12051,12051000,59826,NA,57,Europe/Berlin,2015-09-04
